,words,class
8,người thừa hành,litigious
9,dấu ngoặc,litigious
10,tha,litigious
11,kiện,litigious
12,tiền bồi thường,litigious
13,tòa án,litigious
14,tính hợp hiến,litigious
15,personam,litigious
16,người bổ nhiệm,litigious
17,rata,litigious
18,có thể bị trừng phạt,litigious
19,docketing,litigious
20,vài phần,litigious
21,hereunto,litigious
22,không phân biệt,litigious
23,kết xuất,litigious
24,trái ngược,litigious
25,trang bị lại,litigious
26,các điều khoản phụ,litigious
27,tuyên bố chéo,litigious
28,dưới đây,litigious
29,dễ nghe,litigious
30,lời khuyên,litigious
31,có thể đòi,litigious
32,tịch thu,litigious
33,sự sửa đổi,litigious
34,do đó đơn giản,litigious
35,vòng cấm,litigious
36,tướng mạo,litigious
37,đã nói trước,litigious
38,hợp pháp hóa,litigious
39,hấp dẫn,litigious
40,lắng đọng,litigious
41,bổ sung,litigious
42,dưới đó,litigious
43,có thể đánh chuột,litigious
44,điều tiết,litigious
45,predecease,litigious
46,Án Lệnh,litigious
47,công tố viên,litigious
48,điều khoản,litigious
49,thu hồi,litigious
50,tiền gửi,litigious
51,xóa,litigious
52,có thể thu lại,litigious
53,sự cải chính,litigious
54,phạm tội,litigious
55,sự thoái thác,litigious
56,sự gia nhập,litigious
57,người được bảo hành,litigious
58,sự tranh giành,litigious
59,mục con,litigious
60,nghĩ ra,litigious
61,thử việc,litigious
62,chế lại,litigious
63,túi nhỏ,litigious
64,tiện lợi,litigious
65,phản đối,litigious
66,Sự công bằng,litigious
67,tài nguyên,litigious
68,từ đó,litigious
69,tính cạnh tranh,litigious
70,thoái thác,litigious
71,thụ hưởng,litigious
72,không tin tưởng,litigious
73,bác bỏ,litigious
74,người yêu cầu,litigious
75,ở đâu,litigious
76,cam kết,litigious
77,nhân chứng,litigious
78,tái sử dụng,litigious
79,có thể co lại,litigious
80,xác tín,litigious
81,kê biên,litigious
82,kiểm soát,litigious
83,thành kiến,litigious
84,trọng tài viên,litigious
85,trốn tránh,litigious
86,bãi bỏ,litigious
87,bailee,litigious
88,co lại,litigious
89,khai man,litigious
90,lời khai,litigious
91,cố vấn,litigious
92,sau đó,litigious
93,người cầm cố,litigious
94,lọc lại,litigious
95,người lên án,litigious
96,châm biếm,litigious
97,người hợp pháp,litigious
98,người mua lại,litigious
99,bài trừ,litigious
100,para,litigious
101,không thể kiểm soát được,litigious
102,sublessors,litigious
103,pari,litigious
104,ủy quyền,litigious
105,những người cản trở,litigious
106,thẩm phán,litigious
107,đánh dấu trước,litigious
108,sắc lệnh,litigious
109,quản chế,litigious
110,ở đó,litigious
111,ngay lập tức,litigious
112,interpleader,litigious
113,sự vĩnh viễn,litigious
114,biên tập,litigious
115,thâm nhập,litigious
116,định kiến,litigious
117,sự thăng tiến,litigious
118,nhờ đó,litigious
119,hủy bỏ,litigious
120,nói trên,litigious
121,đường cong,litigious
122,điều tra lại,litigious
123,khẳng định được,litigious
124,không thể thay đổi,litigious
125,trái pháp luật,litigious
126,bằng chứng,litigious
127,sublicensor,litigious
128,văn vật,litigious
129,tội ác,litigious
130,thế quyền,litigious
131,đối thoại,litigious
132,trong khi,litigious
133,của cải,litigious
134,cấm,litigious
135,sự triệu hồi,litigious
136,demurs,litigious
137,sự vi phạm,litigious
138,những kẻ đào tẩu,litigious
139,đánh bại,litigious
140,sự đồng ý,litigious
141,trước đó,litigious
142,sự thật,litigious
143,bất hợp pháp,litigious
144,ngoài hợp đồng,litigious
145,nhượng bộ,litigious
146,người chuyển nhượng,litigious
147,không đủ năng lực,litigious
148,codicil,litigious
149,hệ thống hóa,litigious
150,tổ tiên,litigious
151,người hòa giải,litigious
152,demurrers,litigious
153,trả lại,litigious
154,người phản đối,litigious
155,chủ hợp đồng,litigious
156,minh oan,litigious
157,hình sự hóa,litigious
158,sự phân chia,litigious
159,vật dụng,litigious
160,người thụ hưởng,litigious
161,hợp đồng,litigious
162,chứng thực,litigious
163,trên đây,litigious
164,thẩm vấn,litigious
165,vượt quá,litigious
166,phúc thẩm,litigious
167,supersedeas,litigious
168,giải thích,litigious
169,trung gian,litigious
170,quitclaim,litigious
171,có thể thừa nhận,litigious
172,demurrer,litigious
173,lọ thuốc,litigious
174,hâm nóng,litigious
175,cho vay nặng lãi,litigious
176,không ủy thác,litigious
177,remand,litigious
178,không có quyền,litigious
179,không khẳng định,litigious
180,đáng sợ,litigious
181,sự cất giữ,litigious
182,trọng tội,litigious
183,người bồi thường,litigious
184,sau này,litigious
185,có sương mù,litigious
186,người quá cố,litigious
187,người quản lý,litigious
188,bản tuyên thệ,litigious
189,hành pháp,litigious
190,thereunto,litigious
191,passu,litigious
192,trát đòi hầu tòa,litigious
193,kháng cáo,litigious
194,sự tha thứ,litigious
195,hợp hiến,litigious
196,vượt qua,litigious
197,sự vận chuyển,litigious
198,không tính phí,litigious
199,cai trị,litigious
200,không suy giảm,litigious
201,người thẩm vấn,litigious
202,nhầm lẫn,litigious
203,từ đó đến nay,litigious
204,luật sư,litigious
205,không thể thi hành,litigious
206,attorns,litigious
207,cầu xin,litigious
208,hồi tố,litigious
209,của nó,litigious
210,thực thi,litigious
211,có thể buộc tội,litigious
212,di chúc,litigious
213,người tái cấp phép,litigious
214,sự tôn trọng,litigious
215,công chứng,litigious
216,khẳng định,litigious
217,inasmuch,litigious
218,whensoever,litigious
219,sự nhẫn nại,litigious
220,bồi thẩm đoàn,litigious
221,phân xử,litigious
222,người nhận bằng sáng chế,litigious
223,truy đòi,litigious
224,người chỉ định,litigious
225,bị truy tố,litigious
226,đền bù,litigious
227,kiện tụng,litigious
228,người có nghĩa vụ,litigious
229,Legatee,litigious
230,sự biên tập,litigious
231,choate,litigious
232,lời kêu gọi,litigious
233,chế ngự,litigious
234,bị hại,litigious
235,hình sự,litigious
236,vận chuyển,litigious
237,người bảo hành,litigious
238,thông đồng,litigious
239,nơi ở,litigious
240,sự bào chữa,litigious
241,phát hành,litigious
242,nhận vào,litigious
243,không thể phát hiện được,litigious
244,giả định,litigious
245,ban hành,litigious
246,theo luật định,litigious
247,hạ bệ,litigious
248,kết án,litigious
249,khảo sát,litigious
250,làm lại,litigious
251,cơ quan quản lý,litigious
252,người khiếu nại,litigious
253,mã hóa,litigious
254,người tranh tụng,litigious
255,preamendment,litigious
256,tiền bảo lãnh,litigious
257,sự phân công,litigious
258,bảo quản,litigious
259,hơn thế nữa,litigious
260,phán quyết,litigious
261,tình cảm,litigious
262,tiền xử lý,litigious
263,chấm dứt,litigious
264,vô hiệu,litigious
265,hảo hạng,litigious
266,người cho thuê lại,litigious
267,người phụ nữ,litigious
268,nghĩa vụ,litigious
269,sự ban hành,litigious
270,người cấp phép,litigious
271,trang sức,litigious
272,xúc phạm,litigious
273,sự thôi việc,litigious
274,tống giam,litigious
275,kết tội,litigious
276,prima,litigious
277,redacted,litigious
278,sẽ,litigious
279,tồn tại,litigious
280,tập hợp lại,litigious
281,dân oan,litigious
282,bị cản trở,litigious
283,sửa chữa,litigious
284,sửa đổi,litigious
285,đương sự,litigious
286,diễn tập,litigious
287,pháp luật,litigious
288,ngoài cơ thể,litigious
289,bị kết án,litigious
290,remanded,litigious
291,bona,litigious
292,ký hợp đồng,litigious
293,nhập học,litigious
294,công chứng viên,litigious
295,từ trước đến nay,litigious
296,bộ trang phục,litigious
297,bị cắt,litigious
298,làm trung gian,litigious
299,sự lệch lạc,litigious
300,truy tố,litigious
301,người chết,litigious
302,cố ý,litigious
303,sự xuất hiện,litigious
304,predeceases,litigious
305,arrearage,litigious
306,kinh ngạc,litigious
307,triệu tập,litigious
308,người xét xử,litigious
309,lời thỉnh cầu,litigious
310,sự tha bổng,litigious
311,encumbrancer,litigious
312,đến đó,litigious
313,xen vào,litigious
314,trọng tài,litigious
315,không giả tạo,litigious
316,cho thuê lại,litigious
317,luật pháp,litigious
318,bào chữa,litigious
319,tội phạm,litigious
320,do đó,litigious
321,người cho phép,litigious
322,sự phủ định,litigious
323,khắc phục,litigious
324,cơ quan lập pháp,litigious
325,bị thẩm vấn,litigious
326,người có được,litigious
327,ký quỹ,litigious
328,điều khoản,litigious
329,điều lại,litigious
330,cuộn dây,litigious
331,mandamus,litigious
332,có thể chấp nhận,litigious
333,sự hủy bỏ,litigious
334,điều khiển,litigious
335,chứng cứ,litigious
336,trưng cầu dân ý,litigious
337,người tập sự,litigious
338,trong đó,litigious
339,sự bảo đảm,litigious
340,bị cáo,litigious
341,sự phán xét,litigious
342,làm trái,litigious
343,trên đó,litigious
344,mặc dù,litigious
345,estoppel,litigious
346,người khai báo,litigious
347,về mặt pháp lý,litigious
348,phi pháp luật,litigious
349,lệnh,litigious
350,chống tham nhũng,litigious
351,quy định,litigious
352,sự thay đổi,litigious
353,quy chế,litigious
354,ở đây,litigious
355,người xúc phạm,litigious
356,quyền hạn,litigious
357,người thi hành,litigious
358,yêu cầu,litigious
359,người làm mã,litigious
360,đặc biệt,litigious
361,vô hiệu hóa,litigious
362,cáo buộc,litigious
363,phản bác,litigious
364,hiến pháp,litigious
365,từ đây,litigious
366,cảm thán,litigious
367,tín dụng,litigious
368,vi hiến,litigious
369,lời nói trước,litigious
370,làm chứng,litigious
371,không hài lòng,litigious
372,sự phụ thuộc,litigious
373,vi phạm,litigious
374,hợp pháp,litigious
375,bất bại,litigious
376,cáo trạng,litigious
377,sự cản trở,litigious
378,ga cuối,litigious
379,các nhà lập pháp,litigious
380,con cháu,litigious
381,quitclaims,litigious
382,bảo lãnh,litigious
383,người ủy quyền,litigious
384,sự lấn át,litigious
385,chứng thực di chúc,litigious
386,bộ phụ kiện,litigious
387,hành hạ,litigious
388,không xác nhận,litigious
389,bất cứ ai,litigious
390,nói xấu,litigious
391,trước đây,litigious
392,sự xúc phạm,litigious
393,lập pháp,litigious
394,cùng với đó,litigious
395,hòa giải,litigious
396,hoãn lại,litigious
397,sự khẳng định,litigious
398,tra khảo,litigious
399,khả năng thuê nhà,litigious
400,hợp đồng hậu kỳ,litigious
401,không bị cản trở,litigious
402,người ban hành,litigious
403,phân phối,litigious
404,bất kỳ ai,litigious
405,có thể bảo vệ,litigious
406,optionee,litigious
407,sau đây,litigious
408,độc đoán,litigious
409,overrules,litigious
410,người phạm tội,litigious
411,cơ quan tư pháp,litigious
412,sự phản đối,litigious
413,giao kèo,litigious
414,bề ngoài,litigious
415,tước đoạt,litigious
416,sự ghi lại,litigious
417,phòng xử án,litigious
418,người sắp xếp,litigious
419,sự phòng thủ,litigious
420,chuyển động,litigious
421,sự kiêu ngạo,litigious
422,fide,litigious
423,nài nỉ,litigious
424,khả năng phân xử,litigious
425,thay thế,litigious
426,sự hoãn lại,litigious
427,hâm nóng lại,litigious
428,remands,litigious
429,sự cắt đứt,litigious
430,sửa sang lại,litigious
431,ký gửi,litigious
432,tập sự,litigious
433,mã số,litigious
434,hoàn lại tiền,litigious
435,cực nhọc,litigious
436,đây,litigious
437,đã nói ở trên,litigious
438,bồi thường,litigious
439,tiền thân,litigious
440,cấu trúc con,litigious
0,không thể bàn cãi,strongmodal
1,tốt,strongmodal
2,không bao giờ,strongmodal
3,luôn luôn,strongmodal
4,không khoan nhượng,strongmodal
5,không nghi ngờ gì nữa,strongmodal
0,hầu hết,weakmodal
1,khả thi,weakmodal
2,đề xuất,weakmodal
3,phần nào,weakmodal
4,có lẽ,weakmodal
5,xuất hiện,weakmodal
0,cho phép,constrain
1,cố thủ,constrain
2,sự cho phép,constrain
3,người ký quỹ,constrain
4,ràng buộc,constrain
5,cần thiết,constrain
6,tuân thủ,constrain
7,nhấn mạnh,constrain
8,cấm,constrain
9,chỉ thị,constrain
10,cam kết,constrain
11,ngăn cản,constrain
12,chịu đựng,constrain
13,ủy thác,constrain
14,giao ước,constrain
15,mang ơn,constrain
16,sự áp đặt,constrain
17,những điều cấm,constrain
18,phụ thuộc,constrain
19,năn nỉ,constrain
20,hạn chế,constrain
21,chặt chẽ hơn,constrain
22,lời hứa,constrain
23,nghĩa vụ,constrain
24,bắt buộc,constrain
25,Cấm,constrain
26,không thể hủy bỏ,constrain
27,quy định,constrain
28,kiềm chế,constrain
29,nài nỉ,constrain
30,đặt trước,constrain
31,sự phụ thuộc,constrain
32,uy nghiêm,constrain
33,đòi hỏi,constrain
34,làm suy yếu,constrain
35,áp đặt,constrain
36,bị loại trừ,constrain
37,điều kiện tiên quyết,constrain
38,cấm đoán,constrain
39,ngưng,constrain
40,không có sẵn,constrain
41,sự ép buộc,constrain
42,được phép,constrain
43,sự suy yếu,constrain
44,sự khăng khăng,constrain
45,yêu cầu,constrain
46,nghiêm cấm,constrain
47,sự hạn chế,constrain
48,nghiêm khắc,constrain
49,băt buộc,constrain
50,ngăn cấm,constrain
